id,name,birth_year,employment_start
4e97622e-9314-41f3-b772-cf70d087f76f,Adrianna Kurp,1970-01-23 00:00:00,2005-01-06 00:00:00
eadbba76-1cb3-48ab-905c-d519f53c414a,Ernest Tryc,1999-08-08 00:00:00,2010-12-18 00:00:00
a99315f0-ec05-40c3-ac66-12aa21461461,Nicole Wojsa,1987-01-01 00:00:00,2007-09-21 00:00:00
1bc9a9bb-ce4a-47d8-be13-2d3688920e19,Szymon Filus,1962-10-02 00:00:00,2011-01-21 00:00:00
c78361b6-371a-4325-b73b-0b432e206585,Ksawery Boksa,1962-09-16 00:00:00,2015-06-04 00:00:00
6fbd5a1f-9a89-49a9-b6b0-349384d34878,Kornel Maleszka,1989-11-24 00:00:00,2021-05-26 00:00:00
24f58ec1-c2f6-419d-8ae0-59d9f1c2a894,pani Marianna Tyma,1969-08-12 00:00:00,2006-01-31 00:00:00
5704fc47-6a55-44d4-8e09-7c8e5b742232,pani Karina Myszk,1996-09-12 00:00:00,2018-01-13 00:00:00
6cc0af01-ac20-45fa-b5a4-b36cd445195c,Kornel Jędral,1972-05-07 00:00:00,2012-02-29 00:00:00
9dcd3176-0a98-4366-b8cd-b2590b172dbd,pani Ida Szeja,1967-02-19 00:00:00,2017-05-05 00:00:00
67bc55fc-252e-4059-a25a-937773440fdd,Janina Pasiak,1995-04-07 00:00:00,2009-06-23 00:00:00
55d44038-27f1-45dd-9fb5-e67324b13e2a,Miłosz Pawlos,1993-05-03 00:00:00,2000-04-04 00:00:00
3d24aaac-b6c0-429a-9dfc-b656f2511bca,Nataniel Madajczyk,1963-02-22 00:00:00,2019-04-28 00:00:00
1e25bba4-05cc-4193-8950-e5682b9d9955,Marika Szpara,1970-01-15 00:00:00,2014-06-28 00:00:00
8f549d8a-447b-448d-a207-5d1f93244f3d,Anna Maria Grabias,1978-10-02 00:00:00,2021-01-22 00:00:00
1120ebde-8180-4c4c-b1ff-ce949f41cc16,Natan Opioła,1976-03-15 00:00:00,2002-06-11 00:00:00
b2043115-f2bc-4893-adb9-26d0408dc31d,Marcelina Rosłoń,1981-07-02 00:00:00,2016-12-21 00:00:00
21930217-357c-40df-9ba4-54410ab15896,Olga Wawrzyńczyk,1997-05-22 00:00:00,2009-11-15 00:00:00
76e7b4f7-8ca7-4d32-acd7-ccdc4c10907f,pani Monika Kościesza,1969-06-29 00:00:00,2007-01-08 00:00:00
e836bf28-5ac2-4f3b-9284-994e2015b669,Sara Janczarek,1980-12-31 00:00:00,2006-02-28 00:00:00
39705edc-cfca-45b8-8493-c882763b1822,Roksana Szkaradek,1960-07-31 00:00:00,2023-10-25 00:00:00
8f5ca43c-cb25-4586-a20f-6bc5ddb432f1,pan Aleks Mikus,2005-02-23 00:00:00,2010-03-16 00:00:00
a9cc9ede-732e-4fc7-9c22-13e81e965a7c,pan Maksymilian Opioła,1967-02-13 00:00:00,2002-06-25 00:00:00
f1349b64-f1f6-4d5f-9278-ded913ee54e0,Anita Hass,2002-02-01 00:00:00,2016-12-15 00:00:00
504fc9e5-bed9-4f49-99f3-c02f3e48d873,Marianna Procek,1996-02-09 00:00:00,2022-12-28 00:00:00
465a49eb-d9a2-4b5a-a8df-fbde0afa32fb,Fryderyk Żurawik,1960-03-27 00:00:00,2007-07-25 00:00:00
cf7736a8-d395-42ef-9a49-4389fd204748,Anastazja Świętoń,1994-04-16 00:00:00,2011-07-05 00:00:00
5ab44b0d-4b0b-48da-ba09-ad61b0718a5c,Julian Pudełek,1966-01-30 00:00:00,2004-06-27 00:00:00
31e67350-ec57-4ebb-bfeb-bb1d8f7b8622,Filip Maziarczyk,1975-04-15 00:00:00,2002-01-05 00:00:00
fc95b041-7107-4fec-833f-2ab74af72036,Marcelina Rzeszutko,1972-09-13 00:00:00,2000-01-06 00:00:00
a7897477-474f-43d2-8053-fef5de9f869b,Ignacy Roczniak,1999-07-23 00:00:00,2021-05-09 00:00:00
9f774f7a-2547-475c-b1ec-075569c2cbfb,pani Dorota Dumała,1986-06-14 00:00:00,2001-01-11 00:00:00
77cb6f54-cf3e-45b4-be27-43c9c6b9785e,Dorota Mleczak,1966-08-16 00:00:00,2022-10-07 00:00:00
015c097d-633c-4a5f-aa73-22bfdd2f3dda,Apolonia Klaus,1981-02-22 00:00:00,2015-05-03 00:00:00
8e81259a-2d7b-4414-a14f-420fdd60bb3e,Antoni Cywka,1971-12-11 00:00:00,2017-05-01 00:00:00
ca9eaf5f-f698-4014-a0b9-dee63b048b0c,Miłosz Słoń,1973-07-07 00:00:00,2012-08-09 00:00:00
4821729c-35c2-4a24-9e37-5dffbf89e3f9,Paweł Kyc,2005-11-13 00:00:00,2003-01-15 00:00:00
b80cc59a-e594-4cb4-8cbe-f2eb1ca59dc7,Julian Roszkiewicz,1983-03-04 00:00:00,2017-10-19 00:00:00
f0a54e74-dcd8-451a-9980-a1bd0d997b1b,Kornelia Walkusz,2005-10-17 00:00:00,2002-11-12 00:00:00
439e4484-07fa-4ce6-a72a-c8f1e0c118c4,Sara Bareja,1974-12-31 00:00:00,2007-02-13 00:00:00
37418889-4b0b-4b45-aa21-0682a520577d,Aleksander Leszczyk,1978-07-18 00:00:00,2011-06-25 00:00:00
6e7748e0-4aed-47a3-bddf-911d6a51aa69,Gaja Barcz,1994-06-05 00:00:00,2003-09-17 00:00:00
cbec3e36-b780-4cf8-8ca1-93bfcc984033,Hubert Simon,1995-12-01 00:00:00,2011-05-08 00:00:00
b7cc03e9-da86-4677-a197-6f1b62c73408,pani Sandra Wąsala,1999-03-31 00:00:00,2017-10-20 00:00:00
58aae1eb-c097-4ba8-841e-b1a0fea1989f,Natan Joszko,1970-08-20 00:00:00,2016-11-06 00:00:00
b9d7815b-2a74-4273-895e-e6a544c415af,Dorota Roczniak,1961-12-29 00:00:00,2006-12-24 00:00:00
